customer_id,transaction_count,spending_ratio,join_date
145,427,0.959,2018-06-12
146,343,0.096,2022-01-28
147,294,0.161,2022-11-14
148,162,0.596,2022-01-04
149,138,0.074,2019-01-26
150,292,0.943,2023-01-15
151,174,0.917,2018-07-15
152,353,0.559,2021-06-13
153,449,0.706,2020-01-16
154,268,0.916,2022-04-22
155,382,0.825,2018-11-18
156,81,0.087,2019-10-31
157,463,0.341,2019-10-22
158,438,0.104,2022-05-06
159,367,0.016,2018-03-25
160,321,0.459,2020-03-16
161,477,0.107,2018-01-28
162,182,0.428,2020-07-25
163,277,0.115,2018-11-01
164,418,0.778,2018-06-05
165,78,0.161,2018-08-28
166,445,0.606,2022-04-23
167,214,0.343,2020-05-26
168,347,0.151,2022-04-23
169,256,0.406,2020-10-12
170,238,0.58,2021-04-28
171,379,0.436,2020-10-31
172,16,0.328,2021-01-19
173,497,0.408,2022-01-23
174,132,0.145,2020-05-12
175,390,0.484,2022-01-16
176,425,0.378,2019-02-17
177,311,0.392,2021-01-18
178,112,0.817,2020-03-07
179,338,0.027,2019-05-17
180,55,0.25,2021-08-15
181,268,0.409,2020-02-12
182,37,0.872,2021-07-16
183,283,0.666,2020-02-17
184,166,0.398,2019-06-18
185,381,0.451,2023-05-28
186,223,0.267,2020-05-09
187,426,0.595,2019-10-19
188,340,0.694,2019-08-09
189,450,0.213,2022-04-13
190,405,0.172,2022-06-03
191,143,0.409,2023-03-17
192,228,0.278,2023-01-30
193,176,0.25,2018-09-08
194,15,0.002,2019-06-04
195,304,0.229,2021-11-04
196,370,0.301,2022-05-26
197,495,0.029,2022-06-06
198,79,0.456,2019-12-28
199,451,0.875,2020-05-26
200,165,0.997,2020-04-28
201,445,0.382,2018-06-08
202,417,0.808,2019-04-23
203,88,0.49,2019-04-04
204,168,0.815,2019-11-28
205,40,0.689,2021-04-22
206,422,0.776,2022-08-28
207,34,0.267,2020-03-11
208,207,0.693,2022-11-12
209,166,0.302,2020-05-10
210,497,0.572,2019-03-10
211,230,0.657,2020-01-21
212,157,0.265,2020-02-08
213,145,0.473,2021-03-04
214,92,0.69,2021-07-28
215,24,0.546,2019-01-03
216,292,0.076,2023-03-28
217,100,0.335,2020-02-21
218,443,0.14,2020-11-26
219,185,0.964,2019-11-16
220,479,0.738,2020-10-20
221,265,0.559,2018-05-18
222,186,0.955,2020-01-16
223,360,0.002,2023-03-22
224,323,0.954,2018-08-20
225,461,0.331,2018-03-27
226,305,0.001,2020-01-04
227,202,0.577,2019-02-22
228,400,0.721,2020-09-22
229,499,0.299,2022-03-05
230,290,0.216,2021-02-08
231,376,0.754,2022-07-18
232,152,0.272,2020-01-02
233,267,0.688,2021-02-19
234,353,0.052,2020-06-23
235,424,0.273,2021-11-10
236,437,0.926,2022-08-29
237,240,0.083,2018-10-03
238,47,0.987,2020-12-21
239,66,0.334,2020-09-24
240,59,0.464,2020-08-05
241,276,0.399,2021-10-19
242,216,0.408,2019-10-01
243,285,0.162,2020-01-04
244,200,0.294,2019-12-06
245,247,0.176,2022-12-07
246,253,0.234,2020-05-15
247,471,0.177,2022-04-07
248,242,0.792,2022-01-09
249,307,0.601,2018-07-27
250,410,0.226,2020-05-02
251,145,0.017,2023-03-02
252,361,0.009,2020-03-12
253,367,0.538,2021-10-11
254,438,0.164,2021-07-10
255,230,0.364,2020-06-09
256,131,0.126,2023-03-15
257,498,0.476,2022-02-22
258,198,0.066,2021-10-30
259,338,0.582,2021-03-04
260,332,0.598,2021-02-18
261,53,0.882,2020-08-29
262,484,0.54,2018-05-12
263,483,0.739,2021-02-18
264,291,0.432,2021-12-08
265,425,0.592,2020-08-13
266,389,0.572,2019-11-02
267,234,0.032,2021-03-22
268,350,0.825,2020-05-11
269,31,0.506,2022-09-19
270,262,0.866,2018-09-06
271,368,0.733,2018-04-11
272,453,0.422,2021-07-26
273,184,0.045,2022-08-23
274,10,0.795,2019-09-01
275,51,0.705,2020-04-30
276,101,0.022,2022-06-29
277,84,0.448,2018-02-11
278,146,0.869,2022-03-10
279,366,0.917,2018-05-22
280,240,0.586,2018-08-29
281,305,0.514,2019-11-13
282,149,0.619,2019-12-23
283,69,0.729,2018-09-08
284,462,0.824,2019-10-14
285,34,0.176,2022-05-17
286,431,0.781,2019-09-24
287,202,0.642,2020-12-17
288,463,0.432,2018-11-20
289,242,0.364,2019-11-06
290,288,0.217,2021-01-07
291,328,0.271,2023-02-17
292,190,0.84,2021-10-26
293,362,0.177,2022-05-23
294,343,0.677,2022-10-22
295,162,0.69,2023-06-07
296,474,0.021,2023-05-28
297,345,0.298,2020-04-06
298,402,0.693,2020-01-02
299,35,0.481,2023-02-03
300,290,0.379,2022-04-16
301,35,0.707,2018-01-03
302,455,0.766,2019-11-10
303,105,0.215,2023-02-13
304,334,0.234,2023-03-22
305,345,0.946,2019-01-01
306,474,0.845,2019-05-18
307,37,0.652,2018-09-09
308,475,0.232,2018-07-31
309,121,0.952,2019-08-15
310,449,0.244,2019-08-16
311,434,0.522,2018-06-28
312,467,0.314,2022-04-10
313,385,0.847,2018-02-27
314,77,0.928,2022-12-25
315,467,0.563,2019-08-21
316,38,0.987,2018-11-26
317,69,0.819,2022-08-05
318,200,0.788,2019-05-28
319,398,0.354,2020-05-25
320,435,0.678,2019-05-22
321,424,0.19,2021-02-16
322,308,0.759,2021-11-09
323,125,0.896,2018-01-16
324,331,0.698,2022-11-01
325,254,0.074,2022-10-15
326,423,0.146,2019-10-06
327,239,0.445,2019-06-07
328,60,0.923,2019-07-02
329,349,0.604,2022-12-17
330,262,0.281,2019-09-09
331,19,0.147,2021-11-26
332,285,0.005,2018-05-15
333,459,0.409,2020-05-31
334,421,0.801,2020-04-24
335,176,0.153,2020-07-08
336,259,0.574,2019-10-26
337,253,0.507,2021-07-18
338,434,0.067,2018-11-02
339,11,0.476,2019-12-30
340,160,0.133,2020-12-01
341,259,0.814,2018-03-01
342,231,0.895,2022-12-03
343,23,0.364,2019-04-22
344,433,0.206,2019-01-01
345,56,0.347,2018-05-20
346,355,0.461,2021-08-28
347,431,0.577,2022-04-18
348,120,0.339,2021-09-20
349,207,0.604,2023-03-31
350,142,0.584,2019-02-28
351,232,0.404,2019-11-17
352,332,0.58,2018-11-30
353,370,0.202,2022-11-30
354,92,0.819,2021-12-11
355,350,0.561,2020-06-12
356,497,0.305,2020-02-19
357,263,0.894,2022-02-11
358,417,0.809,2023-01-13
359,112,0.289,2022-07-30
360,255,0.443,2019-11-04
361,461,0.714,2021-11-18
362,87,0.487,2020-01-26
363,330,0.211,2018-09-23
364,282,0.706,2018-09-25
365,301,0.056,2018-01-17
366,18,0.459,2021-09-29
367,488,0.745,2023-01-14
368,404,0.759,2018-04-08
369,189,0.632,2022-06-22
370,379,0.676,2021-02-26
371,451,0.962,2020-08-17
372,417,0.154,2020-06-11
373,237,0.001,2018-12-02
374,109,0.146,2021-02-17
375,248,0.781,2021-02-15
376,230,0.585,2022-02-17
377,292,0.539,2020-01-30
378,442,0.252,2022-04-07
379,209,0.556,2021-08-12
380,331,0.158,2019-12-01
381,42,0.745,2021-05-14
382,440,0.092,2020-03-24
383,495,0.205,2019-08-24
384,393,0.806,2023-03-05
385,494,0.789,2019-03-12
386,397,0.439,2022-06-18
387,499,0.552,2021-12-19
388,118,0.971,2020-08-22
389,140,0.79,2019-04-02
390,430,0.52,2022-07-26
391,185,0.356,2020-12-28
392,249,0.719,2022-11-14
393,197,0.027,2020-07-09
394,469,0.368,2022-05-30
395,473,0.848,2021-11-27
396,199,0.708,2021-11-11
397,400,0.169,2022-01-27
398,285,0.973,2023-03-23
399,93,0.071,2022-04-22
400,351,0.239,2019-02-25
401,365,0.554,2018-09-25
402,346,0.6,2022-02-13
403,278,0.09,2021-07-02
404,305,0.483,2020-02-29
405,178,0.065,2022-08-11
406,75,0.086,2018-11-08
407,327,0.676,2020-12-16
408,378,0.606,2020-08-17
409,154,0.129,2019-04-14
410,158,0.148,2019-08-27
411,155,0.75,2018-06-03
412,315,0.937,2021-02-19
413,379,0.35,2023-02-16
414,217,0.506,2021-07-09
415,364,0.709,2018-07-29
416,109,0.05,2018-03-31
417,370,0.898,2019-12-03
418,126,0.566,2022-05-18
419,188,0.189,2019-08-11
420,426,0.529,2019-01-10
421,365,0.939,2020-01-02
422,45,0.861,2018-03-31
423,227,0.158,2022-08-12
424,79,0.964,2023-02-12
425,140,0.007,2019-04-01
426,319,0.441,2023-05-28
427,86,0.786,2023-01-21
428,109,0.466,2018-08-14
429,406,0.871,2021-07-03
430,315,0.249,2022-12-11
431,312,0.791,2021-01-04
432,18,0.172,2022-05-01
433,241,0.609,2023-03-14
434,277,0.946,2019-07-02
435,351,0.828,2022-12-01
436,496,0.965,2019-01-28
437,429,0.193,2021-09-07
438,12,0.059,2021-06-14
439,253,0.817,2018-11-08
440,44,0.073,2022-08-20
441,417,0.655,2022-10-06
442,223,0.159,2018-12-29
443,426,0.102,2018-02-09
444,271,0.509,2021-12-28
445,97,0.093,2020-05-08
446,287,0.588,2019-03-30
447,314,0.328,2019-06-26
448,26,0.857,2021-09-30
449,51,0.267,2021-07-02
450,316,0.662,2023-04-05
451,313,0.699,2023-02-12
452,334,0.518,2018-12-04
453,258,0.413,2020-05-25
454,344,0.326,2022-12-26
455,352,0.925,2022-11-04
456,116,0.823,2023-06-12
457,267,0.039,2020-11-13
458,137,0.049,2021-05-31
459,193,0.914,2020-06-26
460,63,0.448,2022-08-13
461,309,0.789,2021-04-15
462,244,0.784,2020-08-12
463,314,0.588,2021-09-29
464,167,0.606,2020-10-21
465,152,0.281,2020-03-29
466,338,0.94,2022-11-12
467,216,0.698,2019-02-03
468,496,0.467,2021-09-08
469,49,0.455,2023-04-09
470,240,0.193,2018-01-16
471,418,0.421,2020-10-16
472,160,0.241,2021-07-03
473,261,0.687,2019-09-07
474,118,0.938,2022-04-17
475,87,0.992,2019-07-01
476,463,0.446,2021-04-15
477,166,0.061,2022-12-31
478,403,0.544,2021-10-20
479,202,0.754,2018-03-28
480,317,0.377,2022-08-04
481,376,0.337,2020-01-31
482,75,0.281,2020-03-19
483,433,0.004,2021-04-07
484,183,0.747,2020-06-15
485,276,0.668,2019-03-23
486,90,0.222,2020-09-26
487,489,0.575,2021-09-13
488,91,0.68,2021-01-10
489,286,0.643,2023-03-02
490,231,0.71,2021-10-02
491,74,0.976,2023-02-01
492,232,0.187,2023-01-21
493,265,0.68,2019-12-30
494,296,0.177,2019-04-24
495,436,0.617,2020-09-17
496,63,0.069,2019-08-09
497,383,0.768,2020-05-21
498,283,0.443,2022-01-15
499,328,0.323,2020-04-11
500,309,0.699,2023-05-30
501,93,0.048,2020-10-29
502,105,0.586,2022-11-28
503,82,0.535,2021-11-03
504,94,0.098,2022-12-07
505,118,0.313,2020-12-18
506,116,0.245,2018-05-18
507,306,0.198,2018-04-15
508,21,0.149,2022-05-31
509,346,0.104,2018-04-15
510,327,0.594,2021-09-12
511,416,0.902,2021-06-28
512,39,0.753,2022-08-21
513,410,0.717,2019-10-07
514,467,0.065,2018-10-22
515,67,0.347,2019-12-30
516,484,0.137,2022-11-01
517,327,0.848,2020-10-04
518,191,0.443,2019-09-28
519,256,0.127,2020-12-24
520,383,0.978,2022-05-18
521,359,0.435,2021-06-22
522,412,0.942,2020-10-14
523,245,0.869,2022-02-15
524,19,0.763,2021-06-22
525,268,0.501,2018-08-15
526,369,0.407,2021-12-04
527,20,0.348,2018-07-10
528,354,0.237,2020-10-15
529,435,0.001,2021-05-28
530,79,0.9,2021-06-06
531,274,0.17,2023-01-26
532,169,0.399,2018-04-11
533,139,0.23,2019-03-24
534,323,0.756,2020-03-24
535,305,0.097,2021-04-15
536,498,0.641,2018-01-02
537,36,0.079,2021-06-15
538,162,0.394,2020-10-10
539,253,0.536,2021-12-11
540,413,0.572,2022-08-09
541,19,0.904,2019-08-25
542,266,0.558,2018-11-04
543,449,0.323,2019-03-08
544,330,0.603,2019-05-17
545,423,0.546,2020-06-14
546,362,0.554,2022-12-13
547,471,0.258,2022-11-18
548,130,0.906,2020-04-22
549,444,0.012,2022-10-18
550,419,0.385,2022-12-10
551,115,0.087,2021-12-26
552,27,0.526,2021-08-06
553,55,0.853,2020-10-18
554,162,0.027,2018-12-09
555,60,0.896,2022-11-24
556,477,0.289,2020-12-06
557,384,0.613,2018-05-05
558,259,0.348,2019-05-22
559,475,0.256,2020-06-26
560,313,0.023,2019-12-26
561,358,0.1,2019-07-09
562,456,0.555,2022-07-30
563,242,0.953,2020-04-19
564,215,0.819,2022-01-22
565,81,0.77,2022-08-15
566,164,0.033,2019-12-21
567,268,0.682,2020-07-14
568,489,0.986,2021-12-16
569,96,0.697,2021-11-25
570,112,0.993,2019-01-15
571,262,0.892,2021-04-03
572,248,0.431,2018-01-18
573,353,0.235,2023-02-04
574,83,0.304,2022-10-04
575,358,0.073,2023-03-02
576,491,0.335,2020-02-16
577,435,0.42,2020-02-08
578,483,0.342,2018-01-26
579,373,0.3,2018-10-21
580,324,0.795,2020-09-16
581,182,0.178,2018-07-31
582,329,0.473,2021-04-19
583,118,0.489,2019-10-30
584,184,0.044,2023-01-25
585,469,0.157,2021-03-05
586,323,0.233,2022-02-16
587,276,0.683,2021-05-17
588,113,0.406,2021-09-18
589,457,0.162,2019-02-04
590,253,0.224,2018-08-31
591,124,0.324,2018-07-12
592,483,0.279,2021-02-01
593,177,0.478,2020-10-26
594,303,0.854,2018-08-18
595,232,0.635,2022-10-04
596,89,0.004,2018-07-18
597,273,0.782,2019-04-01
598,333,0.365,2022-09-10
599,261,0.872,2021-06-01
600,45,0.696,2022-01-08
601,124,0.78,2022-11-06
602,138,0.193,2021-09-24
603,159,0.212,2021-08-20
604,76,0.634,2019-12-16
605,441,0.89,2022-09-20
606,45,0.222,2021-04-25
607,139,0.29,2019-10-08
608,249,0.285,2020-09-28
609,177,0.628,2020-03-05
610,312,0.075,2019-04-24
611,41,0.543,2021-08-07
612,413,0.266,2021-02-06
613,293,0.75,2022-11-27
614,487,0.136,2023-05-16
615,307,0.626,2018-09-04
616,469,0.714,2021-05-16
617,18,0.558,2018-09-19
618,144,0.021,2021-06-11
619,391,0.07,2022-03-02
620,236,0.068,2022-02-14
621,76,0.888,2023-04-02
622,479,0.588,2021-08-11
623,384,0.421,2021-11-06
624,280,0.038,2019-10-24
625,85,0.13,2020-10-13
626,159,0.058,2018-01-21
627,477,0.917,2020-08-11
628,420,0.679,2019-06-04
629,274,0.276,2018-05-06
630,440,0.958,2020-11-05
631,57,0.548,2020-10-31
632,13,0.356,2022-04-25
633,258,0.404,2021-09-26
634,223,0.701,2020-09-21
635,230,0.34,2021-03-22
636,307,0.693,2020-07-04
637,267,0.537,2018-05-17
638,489,0.959,2019-03-11
639,114,0.171,2021-08-20
640,72,0.528,2021-10-14
641,413,0.357,2019-05-20
642,249,0.946,2019-04-21
643,180,0.147,2022-05-02
644,226,0.013,2018-05-28
645,85,0.979,2022-09-25
646,440,0.355,2018-10-27
647,207,0.088,2022-01-29
648,283,0.955,2022-10-17
649,202,0.998,2020-11-12
650,161,0.536,2022-04-07
651,33,0.408,2020-04-18
652,29,0.453,2018-09-15
653,100,0.096,2021-12-04
654,428,0.313,2022-09-25
655,266,0.63,2020-03-03
656,471,0.234,2021-12-20
657,397,0.44,2019-04-08
658,208,0.992,2021-09-25
659,280,0.986,2022-09-02
660,441,0.043,2018-02-04
661,21,0.875,2022-03-24
662,264,0.627,2020-05-20
663,91,0.647,2020-11-28
664,231,0.445,2020-05-01
665,47,0.785,2019-04-10
666,25,0.036,2020-12-27
667,451,0.881,2019-09-08
668,291,0.454,2019-01-04
669,23,0.552,2019-03-30
670,215,0.57,2022-03-07
671,369,0.994,2020-03-18
672,45,0.104,2020-03-03
673,462,0.997,2020-03-29
674,149,0.867,2018-08-20
675,308,0.896,2022-01-02
676,115,0.508,2023-03-01
677,21,0.124,2020-03-31
678,479,0.562,2022-10-02
679,128,0.576,2019-03-30
680,319,0.755,2021-01-11
681,78,0.741,2023-02-15
682,405,0.162,2022-09-07
683,303,0.85,2018-09-06
684,65,0.029,2018-12-10
685,278,0.699,2020-11-29
686,163,0.998,2020-09-08
687,318,0.979,2020-07-21
688,39,0.164,2018-01-03
689,97,0.303,2019-10-10
690,366,0.622,2022-11-21
691,191,0.362,2021-07-23
692,407,0.814,2021-06-02
693,211,0.447,2022-06-16
694,300,0.45,2023-04-06
695,494,0.589,2021-07-25
696,400,0.82,2020-03-27
697,259,0.121,2020-10-09
698,223,0.012,2019-10-25
699,350,0.931,2021-09-20
700,358,0.312,2022-08-20
701,159,0.612,2019-01-28
702,267,0.263,2018-09-20
703,124,0.307,2022-01-18
704,462,0.292,2023-01-01
705,13,0.108,2020-02-02
706,203,0.254,2022-12-31
707,311,0.08,2022-12-25
708,59,0.394,2023-05-13
709,300,0.561,2018-10-12
710,66,0.994,2022-02-07
711,189,0.369,2020-09-15
712,499,0.181,2021-09-16
713,112,0.808,2018-09-05
714,306,0.445,2021-06-14
715,229,0.128,2018-08-31
716,247,0.28,2021-04-25
717,373,0.103,2020-08-18
718,138,0.683,2023-02-20
719,96,0.982,2019-04-11
720,257,0.736,2022-08-15
721,16,0.723,2021-07-16
722,238,0.296,2018-03-12
723,44,0.705,2023-05-29
724,189,0.762,2018-10-22
725,190,0.786,2018-10-07
726,242,0.332,2022-06-12
727,269,0.412,2023-01-29
728,194,0.421,2021-02-01
729,120,0.546,2020-02-22
730,432,0.183,2019-03-10
731,454,0.94,2020-05-27
732,302,0.812,2020-11-16
733,18,0.569,2018-02-02
734,446,0.598,2021-09-18
735,70,0.181,2022-08-12
736,72,0.822,2022-01-02
737,227,0.43,2021-08-21
738,209,0.67,2022-04-11
739,144,0.135,2019-10-10
740,185,0.743,2019-11-04
741,74,0.987,2021-10-11
742,91,0.447,2018-08-29
743,240,0.668,2022-01-04
744,318,0.938,2022-05-07
745,22,0.954,2022-10-01
746,278,0.83,2021-06-03
747,322,0.499,2022-07-31
748,35,0.938,2023-03-18
749,485,0.586,2018-11-10
750,181,0.6,2018-04-09
751,445,0.378,2018-03-04
752,112,0.433,2021-04-18
753,132,0.369,2023-02-12
754,377,0.521,2023-02-14
755,371,0.128,2023-03-12
756,320,0.298,2022-12-21
757,143,0.834,2022-03-03
758,443,0.866,2018-08-03
759,223,0.726,2022-08-02
760,317,0.159,2022-07-15
761,98,0.024,2022-01-30
762,79,0.708,2021-09-22
763,239,0.418,2020-12-08
764,24,0.388,2021-07-28
765,349,0.412,2018-04-05
766,319,0.312,2018-07-31
767,416,0.07,2022-09-09
768,183,0.436,2023-04-10
769,385,0.361,2018-01-01
770,303,0.23,2021-07-23
771,52,0.696,2019-09-07
772,95,0.719,2019-05-12
773,314,0.546,2022-06-18
774,251,0.593,2021-03-18
775,348,0.521,2020-03-10
776,31,0.411,2023-03-04
777,330,0.935,2019-10-01
778,25,0.733,2018-05-15
779,277,0.567,2020-08-26
780,285,0.665,2021-11-06
781,415,0.15,2018-12-20
782,195,0.148,2019-11-15
783,376,0.419,2020-04-16
784,136,0.524,2019-11-25
785,15,0.898,2019-01-11
786,353,0.459,2020-12-30
787,426,0.674,2019-08-21
788,201,0.524,2023-03-28
789,458,0.054,2018-10-04
790,451,0.523,2019-11-06
791,142,0.615,2022-06-28
792,55,0.175,2022-06-01
793,440,0.279,2022-08-28
794,422,0.523,2021-08-26
795,499,0.956,2019-03-02
796,289,0.247,2019-12-02
797,498,0.207,2020-11-25
798,86,0.984,2021-06-14
799,207,0.236,2021-02-17
800,238,0.354,2020-10-30
801,167,0.57,2018-07-07
802,135,0.733,2022-01-30
803,11,0.538,2018-07-02
804,233,0.754,2020-04-16
805,230,0.673,2020-03-13
806,233,0.166,2020-09-27
807,127,0.097,2022-03-22
808,323,0.51,2021-01-18
809,385,0.39,2022-02-15
810,241,0.835,2019-12-26
811,234,0.316,2020-03-15
812,208,0.799,2023-03-26
813,456,0.031,2018-09-30
814,41,0.228,2022-05-10
815,195,0.35,2021-04-24
816,353,0.369,2019-06-26
817,159,0.747,2019-11-16
818,48,0.011,2020-07-07
819,109,0.84,2018-09-16
820,158,0.854,2020-01-15
821,254,0.618,2021-03-10
822,485,0.567,2023-05-05
823,34,0.704,2019-12-27
824,205,0.372,2021-10-09
825,163,0.687,2022-06-22
826,124,0.692,2022-08-23
827,115,0.451,2022-08-05
828,283,0.73,2022-03-24
829,99,0.159,2022-12-21
830,295,0.37,2018-09-23
831,113,0.295,2021-09-06
832,454,0.709,2022-07-17
833,31,0.777,2019-08-09
834,86,0.657,2022-05-08
835,414,0.067,2019-10-14
836,274,0.29,2023-01-29
837,155,0.53,2018-10-28
838,439,0.651,2019-05-05
839,216,0.708,2021-11-14
840,146,0.393,2018-02-09
841,107,0.526,2019-12-05
842,129,0.966,2022-09-14
843,119,0.787,2023-04-20
844,438,0.432,2021-04-04
845,119,0.953,2022-08-02
846,115,0.957,2022-10-15
847,135,0.309,2020-10-26
848,472,0.11,2021-10-24
849,411,0.441,2018-03-30
850,214,0.554,2019-06-05
851,11,0.775,2018-01-05
852,295,0.259,2020-09-12
853,39,0.045,2022-10-07
854,186,0.719,2020-06-06
855,207,0.099,2020-07-11
856,119,0.263,2018-11-21
857,176,0.252,2021-08-22
858,218,0.339,2021-08-02
859,152,0.741,2022-02-19
860,298,0.448,2020-10-19
861,138,0.823,2019-09-24
862,385,0.286,2020-01-04
863,257,0.873,2018-01-05
864,152,0.323,2019-11-26
865,137,0.947,2021-04-15
866,223,0.507,2021-08-13
867,284,0.203,2019-11-23
868,475,0.262,2020-03-12
869,447,0.941,2019-12-23
870,152,0.536,2022-06-28
871,487,0.355,2019-01-03
872,22,0.836,2019-09-01
873,430,0.167,2019-07-09
874,37,0.607,2022-05-13
875,435,0.041,2020-09-26
876,34,0.893,2021-09-25
877,31,0.207,2019-01-24
878,275,0.633,2019-01-16
879,30,0.946,2021-04-18
880,120,0.492,2021-04-29
881,50,0.467,2020-06-13
882,364,0.738,2018-10-06
883,396,0.454,2019-04-19
884,163,0.625,2020-06-10
885,108,0.974,2020-11-03
886,173,0.233,2022-06-05
887,169,0.388,2022-06-24
888,174,0.084,2019-02-10
889,224,0.895,2023-04-27
890,65,0.734,2021-12-15
891,440,0.063,2018-07-18
892,183,0.693,2020-05-16
893,19,0.166,2019-01-15
894,225,0.54,2021-05-21
895,321,0.763,2020-09-26
896,99,0.802,2020-09-13
897,22,0.777,2019-10-12
898,189,0.615,2021-05-15
899,418,0.698,2018-02-22
900,329,0.658,2019-12-26
901,18,0.968,2018-12-07
902,31,0.404,2021-03-02
903,171,0.167,2020-01-12
904,337,0.23,2019-06-10
905,497,0.771,2020-01-05
906,415,0.121,2023-05-27
907,260,0.059,2020-10-23
908,128,0.903,2021-06-29
909,221,0.442,2018-08-01
910,173,0.732,2019-09-22
911,497,0.505,2019-06-04
912,59,0.463,2019-07-02
913,438,0.95,2019-02-24
914,358,0.08,2018-07-30
915,299,0.995,2020-07-31
916,271,0.74,2020-07-13
917,311,0.975,2023-05-19
918,462,0.356,2022-08-10
919,116,0.958,2019-07-31
920,230,0.914,2023-04-28
921,222,0.02,2018-03-04
922,343,0.487,2023-05-20
923,140,0.138,2020-11-28
924,120,0.843,2022-06-23
925,353,0.719,2022-09-03
926,391,0.027,2020-08-17
927,60,0.349,2020-11-16
928,159,0.238,2018-12-25
929,169,0.58,2023-05-28
930,16,0.402,2022-06-19
